Hand,2,3,4,5,6,7,8,9,10,A
5,H,H,H,H,H,H,H,H,H,H
6,H,H,H,H,H,H,H,H,H,H
7,H,H,H,H,H,H,H,H,H,H
8,H,H,H,H,H,H,H,H,H,H
9,D,D,D,D,D,D,D,D,D,D
10,D,D,D,D,D,D,D,D,D,D
11,D,D,D,D,D,D,D,D,D,D
12,S,S,S,S,S,S,S,S,S,S
13,S,S,S,S,S,S,S,S,S,S
14,S,S,S,S,S,S,S,S,S,S
15,S,S,S,S,S,S,S,S,S,S
16,S,S,S,S,S,S,S,S,S,S
17,S,S,S,S,S,S,S,S,S,S
18,S,S,S,S,S,S,S,S,S,S
19,S,S,S,S,S,S,S,S,S,S
20,S,S,S,S,S,S,S,S,S,S
21,S,S,S,S,S,S,S,S,S,S
"A,2",D,D,D,D,D,D,D,D,D,D
"A,3",D,D,D,D,D,D,D,D,D,D
"A,4",D,D,D,D,D,D,D,D,D,D
"A,5",D,D,D,D,D,D,D,D,D,D
"A,6",D,D,D,D,D,D,D,D,D,D
"A,7",S,S,S,S,S,S,S,S,S,S
"A,8",S,S,S,S,S,S,S,S,S,S
"A,9",S,S,S,S,S,S,S,S,S,S
"A,10",S,S,S,S,S,S,S,S,S,S
"2,2",SP,SP,SP,SP,SP,SP,H,H,H,H
"3,3",SP,SP,SP,SP,SP,SP,H,H,H,H
"4,4",SP,SP,SP,SP,SP,SP,H,H,H,H
"5,5",D,D,D,D,D,D,D,D,H,H
"6,6",SP,SP,SP,SP,SP,SP,H,H,H,H
"7,7",SP,SP,SP,SP,SP,SP,H,H,H,H
"8,8",SP,SP,SP,SP,SP,SP,SP,SP,SP,SP
"9,9",SP,SP,SP,SP,SP,SP,SP,SP,S,S
"10,10",S,S,S,S,S,S,S,S,S,S
"A,A",SP,SP,SP,SP,SP,SP,SP,SP,SP,SP
